,stim_id,Label,Type,Text,Hummingbird scores,Captum Converted,Judgment,Confidence,gpt2 ppl,gpt3 ppl
0,1,Negative Sentiment,Movie review,"It feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes.",0.0 0.0 0.0 0.0 0.0 0.0 -0.3333 -0.3333 -0.3333 -0.3333 -0.3333 0.0 -0.3333 0.0 0.0 -0.3333 -0.3333 -0.3333 -0.3333 -0.3333 -0.3333 -0.3333 -0.3333 -0.6667 -0.6667 -0.6667 -0.6667 -0.6667 -0.6667 -0.6667 -0.3333 -0.3333 -0.3333,-0.1 0.91 0.01 -0.02 0.0 -0.02 -0.02 -0.006666666666666665 -0.01 -0.02 -0.05 -0.01 0.0 0.01 0.02 0.04 0.0 -0.019999999999999997 -0.03 0.07 0.02 -0.02 -0.03 0.37 -0.01 0.03 -0.01 0.0 0.0 0.03 -0.01 -0.02 0.005,Negative,0,nan 6.162394046783447 0.8729148507118225 3.8403854370117188 9.722683668136597 0.1358998715877533 10.87059497833252 3.4673876389861107 0.5263311862945557 2.7801787853240967 5.290171146392822 3.8849596977233887 2.5706051886081696 1.8190653324127197 8.992745399475098 5.81381368637085 9.029359817504883 4.789992094039917 7.375566482543945 8.833600044250488 2.4417965412139893 5.8060302734375 0.2054263800382614 3.187962293624878 0.06302265077829361 8.40987777709961 0.6312775611877441 2.7522575855255127 5.166601657867432 4.848696708679199 3.1823172569274902 10.818992614746094 1.602996289730072,0 0.0007895640502080201 0.4260012919375976 0.024432061825397405 0.7675947235891493 0.6149671667494779 1.2887016065516659 0.9801630721572807 0.28734999828405683 0.06880875425905542 0.012921147096628869 0.04099348612089241 1.1714393670418781 0.09098605736256637 0.0002574971257651157 0.008486700397168466 0.7310872221717707 0.08912536543532339 0.010083694153454014 6.110865798153682e-05 0.5046735824908589 0.09896139048662539 0.995182595096633 0.3668942204976291 0.951412553790559 0.00013578076432009629 0.6867566985968072 0.05670884976025134 0.0033015936593688063 0.8940117551121916 0.017592405073300007 0.0036524942083793204 1.7253790998646434
1,2,Negative Sentiment,Movie review,The film's few ideas are stretched to the point of evaporation; the whole central section is one big chase that seems to have no goal and no urgency.,0.0 0.0 -0.3333 -0.3333 -0.3333 -0.6667 -0.6667 -0.6667 -0.6667 -0.3333 -0.6667 0.0 0.0 0.0 0.0 0.0 0.0 -0.3333 -0.3333 -0.3333 -0.3333 -0.3333 -0.3333 -0.6667 -0.6667 -0.3333 -0.3333 -0.3333,-0.01 0.006666666666666667 0.1 0.01 -0.06 0.38 0.01 0.08 0.13 -0.03 0.037500000000000006 0.19 -0.16 -0.09 -0.08 -0.16 0.05 0.11 -0.54 0.12 0.25 -0.02 -0.17 -0.05 -0.11 -0.1 -0.11 0.265,Negative,0,nan 9.244285821914673 8.928823471069336 8.323497772216797 1.9240566492080688 8.478243827819824 1.1178812980651855 0.5445711612701416 2.3683738708496094 0.13046467304229736 17.241308198310435 1.6291999816894531 5.046573638916016 8.186976432800293 5.905182838439941 1.27951979637146 4.107670783996582 2.514284133911133 5.655920028686523 4.224994659423828 4.258541107177734 0.67463618516922 2.047435760498047 1.72870934009552 5.109969615936279 3.182338237762451 0.6658934354782104 7.044053852558136,0 0.0479570958242503 8.593245304771455e-05 0.0003746995699063346 0.5498775840409467 0.0017379175375738202 0.11312119645777526 0.34397747617082625 0.2525067999839097 0.9125916821350174 1.8176754670978053 0.2619518685295198 0.005804535989092272 0.00011842792621776871 0.008303191666191898 0.32877031589509986 0.04713844824623239 0.0815696110482205 0.06716168216232732 0.04688948636415653 0.021763208900779662 0.8005197778338868 0.06637046006677357 0.3260754769586609 0.0072371774758374025 0.0664738926589049 0.26756415757541674 0.5538403720964732
2,3,Negative Sentiment,Tweet,"I feel exhausted ...I tried to do a good job, but apparently God does not see me right. I'm weary! I EXIST! #exist #weary #misonorotta",0.0 -0.6667 -1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.3333 0.0 -0.6667 -0.3333 -0.6667 -0.6667 -0.6667 -0.6667 -0.6667 -1.0 0.0 0.0 0.0 -0.6667 0.0,-0.04 -0.01 0.28 0.02 0.01 0.01 -0.03 0.03 -0.18 0.009999999999999998 0.0 -0.07 0.01 -0.03 0.05 0.02 -0.01 0.005000000000000001 -0.03666666666666667 0.23500000000000001 0.06 -0.2 -0.25 -0.14 0.098,Negative,0,nan 5.138221263885498 8.716504096984863 12.164397716522217 6.7983198165893555 0.3416651785373688 3.2474119663238525 2.876577377319336 2.3930726051330566 1.9739050269126892 0.45723751187324524 8.132354736328125 8.495433807373047 3.579601287841797 0.13477714359760284 3.981281280517578 2.3254916667938232 8.132106304168701 3.385340690612793 14.617111206054688 1.1355007886886597 20.83941960334778 15.74854326248169 9.514685034751892 36.23085206747055,0 0.0009965014133483366 0.0005925223287565566 0.005794774337492145 0.0017448023434020702 0.5636066499317411 0.05347532213510115 0.12955455660936605 0.022754082480318873 0.6916915516979761 0.6957755891649109 0.002625667840153662 0.00014139445786516896 0.028590485252121933 0.9838286896209549 0.014855644276324749 0.05302785168330598 0.21117440183337102 0.22289358849044938 0.0019761498702739527 0.11552879184986449 0.3722184581188286 0.019989080598753053 1.2440856994130152 0.8061872860334279
3,4,Negative Sentiment,Movie review,"The movie, directed by Mick Jackson, leaves no cliche unturned, from the predictable plot to the characters straight out of central casting.",0.0 0.0 0.0 0.0 0.0 0.0 -0.3333 -0.3333 -1.0 -0.3333 0.0 0.0 -1.0 -0.6667 0.0 0.0 -0.6667 -0.3333 -0.6667 -0.6667 -1.0 -1.0,0.03 -0.07500000000000001 -0.48 0.03 -0.07 -0.055 -0.46 -0.03 0.39 0.12799999999999997 0.04 0.06 0.03 0.18 0.0 -0.04 0.11 -0.02 -0.11 0.02 -0.09 -0.175,Negative,0.04,nan 10.519559383392334 2.9972190856933594 0.04134675860404968 7.71336555480957 4.20932924747467 8.214532852172852 2.1484885215759277 11.91317367553711 8.306856560520828 2.013862133026123 0.629519522190094 8.950701713562012 3.580538272857666 1.215880274772644 0.18937738239765167 5.112781524658203 9.43600082397461 1.0887224674224854 0.015708280727267265 7.913866996765137 0.6955830929800868,0 0.030377413451880237 0.03875633704144524 0.9793331354261714 6.652917398265094e-05 1.2575050035775157 2.6198562895982188e-05 0.10397099634847908 0.8900053742444647 1.511861360505021 0.14715410617542546 0.6548308637334329 0.0028068663383403157 0.046015683267603746 0.37589258672817355 0.8658981820694339 0.003286234166623345 0.002340974460937453 0.8081996495142567 0.9941292580501284 0.31022718347095696 1.6648912684421178
4,5,Negative Sentiment,Tweet,Some 'friends' get bitter when it seems your life is moving better than theirs.,0.0 -0.6667 0.0 -1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.02 0.02666666666666667 0.0 0.4 0.19 -0.08 0.11 0.22 0.07 -0.09 0.12 -0.1 0.11 -0.54,Negative,0.05,nan 14.361373215913773 6.418369770050049 8.716039657592773 2.2931857109069824 3.9662058353424072 4.5690717697143555 5.356473445892334 4.7229509353637695 0.7310413718223572 5.456537246704102 6.92466926574707 0.6860882043838501 1.4714040160179138,0 0.00014000631909230195 0.9322466320106205 0.001019033143250624 0.43825670316424553 0.002750860244606238 0.02790076140570879 0.0037976075599930104 0.7598828289665367 0.9196140571986641 0.01068132916010919 0.002912166421617435 0.8456965852343264 1.5138654472316118
5,6,Negative Sentiment,Tweet,@BBCBreaking I have some mistrust of the medical profession.  The cover up was more important than the patients.,0.0 -0.3333 -0.3333 -0.3333 -0.6667 -0.3333 -0.3333 -0.3333 -0.3333 -0.3333 -0.6667 -0.6667 -0.3333 -0.3333 -0.3333 -0.3333 -0.3333 -0.3333,0.46499999999999997 -0.043333333333333335 0.04 -0.01 -0.07 0.013333333333333336 0.01 -0.11 -0.03666666666666667 -0.08 -0.05 -0.12 -0.05 -0.04 -0.04 -0.01 0.05 0.05,Negative,0.05,nan 14.879015445709229 3.0066349506378174 4.848863124847412 12.818788528442383 1.1016570329666138 1.2160112857818604 6.7600836753845215 9.943845450878143 3.5678136348724365 8.555899620056152 1.5510517358779907 3.2994179725646973 4.572774887084961 3.634796142578125 0.6990640163421631 0.4420933723449707 5.591675281524658,0.037077039329111564 0.02738597110975963 0.03002457698123805 0.008924738066842892 1.4911588330323436e-06 0.33380910210051584 0.28285694608732004 0.00023212582132734532 0.7979934227987294 0.013335475019138064 0.0002671888089102001 0.34890116211436006 0.0036300240695403213 0.00523557815736692 0.09113490479179281 0.6894985394673311 0.5051678644952352 0.5099055173707762
6,7,Negative Sentiment,Tweet,I have actually watch drugs destroy an entire family Mother's on skid row. Oldest daughter lost her child. Father is estranged. #horrific,0.0 0.0 0.0 0.0 -0.6667 -1.0 0.0 0.0 0.0 0.0 0.0 -0.3333 -0.3333 0.0 0.0 -1.0 -0.6667 -0.6667 0.0 0.0 -1.0 -0.6667,0.31 0.05 0.31 0.15 -0.14 0.06 0.02 0.03 -0.02 -0.02 0.05 0.0 -0.04666666666666667 -0.08 0.0 0.01 -0.06 0.005 0.07 0.07 -0.355 0.2,Negative,0,nan 3.1262612342834473 6.951055526733398 10.340521812438965 12.378395080566406 7.846600532531738 5.285590648651123 0.7427152395248413 1.9882009029388428 17.52023959159851 6.460909366607666 8.244882583618164 2.204572454094887 9.58836841583252 6.175901889801025 4.4867448806762695 1.1108996868133545 7.48155403137207 4.370901584625244 3.371860980987549 9.219299554824829 17.100740551948547,0 0.01487225771262174 0.000521878372554581 4.5494323410471006e-05 3.533067797462314e-06 0.004468631809926723 0.005258614973122918 0.674502578843933 0.5353886431599084 0.010288448813097663 0.0007677556803294396 0.6742922372090877 0.8897401619762176 0.2962277781649268 0.15619138449186845 0.0012662412659458706 0.34751731078826437 0.08320400140763735 0.029803399940967434 0.1304328818305072 0.3367801848531838 0.8042838103821491
7,8,Negative Sentiment,Movie review,"It's so mediocre, despite the dynamic duo on the marquee, that we just can't get no satisfaction.",0.0 -0.3333 -0.6667 -0.3333 0.0 -0.3333 -0.3333 0.0 0.0 0.0 0.0 -0.6667 -0.3333 -0.6667 -0.6667 -1.0 -1.0,-0.10333333333333333 -0.11 0.185 0.09 0.03 0.02 0.02 -0.03 0.07 0.027500000000000004 -0.04 -0.17 0.07 0.06333333333333334 0.03 0.11 -0.39,Negative,0,nan 5.146084785461426 13.040192604064941 7.1453704833984375 1.1259783506393433 10.559783935546875 3.339158058166504 6.21941614151001 1.0749439001083374 9.889177799224854 0.7769314050674438 3.4979279041290283 4.5559186935424805 1.6519788776058704 2.2334706783294678 9.449104309082031 2.92642343044281,0.1869729172792011 0.015634055488041095 0.1655960523366651 0.0002065479436235325 0.26740013752767766 4.37309267595701e-05 0.014301944098681803 0.01984781606135098 0.505834620537448 0.2230723242446324 0.747898504040335 0.009937552658968786 0.0037197790783534018 1.2900724630562435 0.024522873125570156 0.00031130295129884196 1.471985691801768
8,9,Negative Sentiment,Movie review,"For all the writhing and wailing, tears, rage and opium overdoses, there's no sense of actual passion being washed away in love's dissolution.",0.0 0.0 0.0 -0.6667 0.0 -0.6667 -0.6667 -0.6667 0.0 0.0 -0.6667 0.0 -0.3333 -0.3333 -0.3333 -0.3333 -0.3333 0.0 -0.3333 -0.3333 0.0 -0.3333 -0.3333,-0.15 0.11 0.15 0.04 -0.06 0.05000000000000001 -0.05500000000000001 0.11 -0.02 -0.12 -0.08333333333333333 0.02666666666666667 -0.09 0.09 -0.01 -0.19 -0.04 0.05 -0.13 -0.03 0.13 0.10333333333333333 -0.48000000000000004,Negative,0,nan 3.993867874145508 0.9796066880226135 12.00446891784668 5.889021396636963 6.432694658637047 10.63809061050415 4.439606666564941 1.2208874225616455 12.330924987792969 8.681270122528076 4.580007314682007 2.3325726985931396 5.047441005706787 0.6610117554664612 6.095310211181641 7.044002532958984 5.816493511199951 8.346940994262695 0.2758326232433319 2.248408794403076 10.29617977142334 8.044715970754623,0 0.007090435611907658 0.21727459731562335 0.014743593097149787 0.33421038135596226 1.266542587521741 0.04652100112219911 0.001185364448740048 0.43498811939589493 1.99605465137788e-06 0.6509996011579491 0.17881324132025872 0.1087429107112825 0.026994598190834797 0.5269765650633628 0.01933576285664756 0.018215470836906316 0.0028119361824789873 3.278858898182234e-05 0.44482585966483806 0.23976322622596732 0.8067747453586244 0.6619036720200967
9,10,Negative Sentiment,Tweet,"Lost without my Mom plus tired, sick and full of cold is just another day in paradise..... #upset #unwell #missyoumommybear",-1.0 -0.3333 0.0 0.0 0.0 -1.0 -1.0 0.0 0.0 0.0 -1.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.6667 -0.6667 -0.3333,-0.05 0.16 0.13 -0.07999999999999999 -0.14 -0.18 0.02 -0.02 0.01 -0.05 -0.01 0.02 0.13 -0.17 0.11 -0.06333333333333334 -0.075 -0.12 -0.023750000000000007,Negative,0,nan 8.764323234558105 3.7712507247924805 29.004959106445312 13.737313032150269 4.764139175415039 1.172102689743042 5.635272979736328 0.09919007867574692 6.123307228088379 7.289089202880859 3.4643054008483887 4.337944507598877 1.5716034173965454 1.0555349588394165 12.916926383972168 14.200762748718262 7.080153822898865 37.045031160116196,0 0.00015342204041259797 0.026383443650808407 0.0004743671009481252 0.07575477890501241 0.012865516324601868 0.25644845236658204 0.001452584348017485 0.7216818053813056 0.005584582517088889 0.00426354630093269 0.02468393874730555 0.001113467788321563 0.18844219065605525 0.21547583721867955 0.015615484553676527 0.4290559734851824 0.7423689008542419 1.5510235014500364
