stim_id,text,style,hummingbird annotations,captum scores,surprisal,Dwell Time z_score,Dwell Time pred,Dwell Time raw,Reread Time z_score,Reread Time raw,Go Past Time z_score,Go Past Time raw,First Run Dwell z_score,First Run Dwell raw,First Run Dwell pred,First Fixation Duration z_score,First Fixation Duration raw,Pupil Size z_score,Pupil Size raw,Pupil Size pred
1,"It feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes.",Negative,"['about as exciting', 'as gazing', 'at an egg', 'timer']","['It feels', 'and watching', 'points', 'about as exciting', 'timer']","['after-school', 'and watching', 'its rote', 'points', 'for 93']","['It feels', 'like an', 'after-school', 'special', 'gussied up']","['after-school', 'gussied up', 'and watching', 'about as exciting']","['after-school', 'gussied up', 'and watching', 'its rote', 'about as exciting']","['like an', 'special']","['special', 'gussied up', 'special', 'effects,', 'and watching']","['It feels', 'points']","['special', 'gussied up', 'special', 'effects,', 'about as exciting']","['It feels', 'special', 'and watching', 'its rote', 'about as exciting']","['It feels', 'with some', 'special', 'its rote', 'about as exciting']","['after-school', 'gussied up', 'and watching', 'about as exciting']","['special', 'special', 'points', 'as gazing']","['gussied up', 'with some', 'special', 'connect is', 'for 93']","['It feels', 'like an', 'fancy', 'connect is', 'about as exciting']","['fancy', 'points', 'connect is', 'about as exciting', 'for 93']","['fancy', 'its rote', 'plot', 'for 93']"
2,The film's few ideas are stretched to the point of evaporation; the whole central section is one big chase that seems to have no goal and no urgency.,Negative,"['to the point', 'no goal']","['are stretched', 'to the point', 'big']","['few ideas', 'of evaporation;', 'central']","[""The film's"", 'few ideas', 'are stretched']",[],"[""The film's"", 'few ideas', 'and no urgency.']","['few ideas', 'are stretched', 'one']","['few ideas', 'central', 'and no urgency.']","[""The film's"", 'seems to have']","['central', 'chase that', 'and no urgency.']","[""The film's"", 'of evaporation;', 'and no urgency.']","['of evaporation;', 'chase that', 'and no urgency.']",[],"[""The film's"", 'one', 'and no urgency.']","[""The film's"", 'one', 'and no urgency.']","[""The film's"", 'few ideas', 'and no urgency.']","['few ideas', 'one', 'no goal']",[]
3,"I feel exhausted ...I tried to do a good job, but apparently God does not see me right. I'm weary! I EXIST! #exist #weary #misonorotta",Negative,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
4,"The movie, directed by Mick Jackson, leaves no cliche unturned, from the predictable plot to the characters straight out of central casting.",Negative,"['no cliche', 'out of central', 'casting.']","['no cliche', 'unturned, from', 'plot to']","['Mick', 'leaves', 'straight']","['The movie,', 'leaves', 'unturned, from']",[],"['unturned, from', 'the predictable', 'the characters']",[],"['unturned, from', 'the predictable', 'casting.']",[],"['unturned, from', 'the predictable', 'casting.']","['The movie,', 'unturned, from', 'the characters']","['The movie,', 'unturned, from', 'the characters']",[],[],"['Jackson,', 'leaves', 'plot to']","['The movie,', 'out of central', 'casting.']","['directed by', 'leaves', 'out of central']",[]
5,Some 'friends' get bitter when it seems your life is moving better than theirs.,Negative,['get bitter'],['get bitter'],['get bitter'],"[""Some 'friends'""]",[],"[""Some 'friends'""]",[],['better than theirs.'],[],['better than theirs.'],"[""Some 'friends'""]","[""Some 'friends'""]",[],['is moving'],['is moving'],"[""Some 'friends'""]","[""Some 'friends'""]",[]
6,@BBCBreaking I have some mistrust of the medical profession.  The cover up was more important than the patients.,Negative,['The cover up'],['@BBCBreaking I'],['profession.¬†'],['@BBCBreaking I'],[],['was more important than the'],[],['patients.'],[],['patients.'],['have some mistrust'],['have some mistrust'],[],['profession.¬†'],['profession.¬†'],['@BBCBreaking I'],['@BBCBreaking I'],[]
7,I have actually watch drugs destroy an entire family Mother's on skid row. Oldest daughter lost her child. Father is estranged. #horrific,Negative,"['lost', 'estranged.']","['I have actually', 'watch', 'Father is']","['watch', 'drugs', ""Mother's""]","['I have actually', 'family', ""Mother's""]","['destroy an', ""Mother's""]","['I have actually', 'destroy an', 'on skid']",['daughter'],"['on skid', 'row.', 'estranged.']",['I have actually'],"['family', 'on skid', 'estranged.']","['I have actually', 'on skid', 'estranged.']","['I have actually', 'on skid', 'estranged.']","['destroy an', ""Mother's""]",['Oldest'],"['on skid', 'Oldest', 'lost']","['I have actually', 'watch', 'on skid']","['watch', 'row.', 'lost']","['watch', 'drugs']"
8,"It's so mediocre, despite the dynamic duo on the marquee, that we just can't get no satisfaction.",Negative,['no satisfaction.'],['despite'],['despite'],['the dynamic'],[],"[""It's so mediocre,""]",[],['no satisfaction.'],[],['no satisfaction.'],"['on the marquee,']","['on the marquee,']",[],[],['despite'],"[""It's so mediocre,""]",['the dynamic'],[]
9,"For all the writhing and wailing, tears, rage and opium overdoses, there's no sense of actual passion being washed away in love's dissolution.",Negative,"['tears,', 'rage']","['rage', 'away in', ""love's""]","['tears,', ""love's"", 'dissolution.']","['For all the writhing', 'and wailing,']","[""overdoses, there's"", 'being washed']","['For all the writhing', ""overdoses, there's"", 'no sense of']",[],"[""overdoses, there's"", 'passion', 'dissolution.']",[],"['For all the writhing', ""overdoses, there's"", 'dissolution.']","['For all the writhing', 'and wailing,', 'being washed']","['For all the writhing', ""overdoses, there's"", 'being washed']","[""overdoses, there's"", 'being washed']",['rage'],"['and wailing,', 'rage', 'being washed']","['For all the writhing', 'and wailing,', ""overdoses, there's""]","['and wailing,', 'tears,', 'away in']","['tears,', 'and opium']"
10,"Lost without my Mom plus tired, sick and full of cold is just another day in paradise..... #upset #unwell #missyoumommybear",Negative,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
11,"I finally left the dark room I've been crying in & instead of getting some sun on my translucent skin, I got 6000 mosquito bites. #blessed",Negative,"['mosquito', 'bites.']","['left', '& instead of', 'bites.']","[""room I've"", 'my translucent', 'mosquito']","['I finally', ""room I've"", 'some sun on']",['my translucent'],"['been crying in', '& instead of', 'my translucent']",[],"['some sun on', 'bites.']",[],"['some sun on', 'bites.']","['been crying in', 'my translucent']","['been crying in', 'my translucent']",['my translucent'],[],"['I finally', 'getting']","['left', 'getting', 'some sun on']","['left', 'getting', 'some sun on']",['left']
