stim_id,text,style,hummingbird annotations,captum scores,surprisal,Dwell Time z_score,Dwell Time pred,Dwell Time raw,Reread Time z_score,Reread Time raw,Go Past Time z_score,Go Past Time raw,First Run Dwell z_score,First Run Dwell raw,First Run Dwell pred,First Fixation Duration z_score,First Fixation Duration raw,Pupil Size z_score,Pupil Size raw,Pupil Size pred
1,"It feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes.",Negative,"['gussied up', 'with some', 'fancy', 'its rote', 'plot', 'points', 'connect is', 'about as exciting', 'as gazing', 'at an egg', 'timer', 'for 93']","['It feels', 'and watching', 'points', 'about as exciting']","['after-school', 'gussied up', 'and watching', 'its rote', 'points', 'for 93']","['It feels', 'like an', 'special', 'gussied up', 'fancy', 'and watching', 'its rote', 'points', 'about as exciting', 'timer', 'for 93']",[],"['It feels', 'like an', 'after-school', 'special', 'gussied up', 'fancy', 'special', 'effects,', 'and watching', 'its rote', 'plot', 'connect is', 'as gazing', 'at an egg', 'for 93']","['It feels', 'special', 'gussied up', 'with some', 'fancy', 'special', 'effects,', 'and watching', 'connect is', 'timer']","['It feels', 'like an', 'special', 'gussied up', 'fancy', 'effects,', 'and watching', 'points', 'about as exciting', 'as gazing', 'timer']","['like an', 'after-school', 'its rote', 'plot', 'points', 'about as exciting', 'as gazing', 'at an egg', 'for 93']","['like an', 'special', 'gussied up', 'effects,', 'points', 'about as exciting', 'as gazing', 'at an egg', 'timer', 'for 93']","['after-school', 'special', 'its rote', 'plot', 'about as exciting', 'as gazing', 'for 93']","['like an', 'special', 'its rote', 'plot', 'as gazing', 'at an egg', 'for 93']",[],"['after-school', 'gussied up', 'with some', 'fancy', 'effects,', 'its rote', 'plot', 'points', 'connect is', 'as gazing', 'at an egg', 'timer', 'for 93']","['like an', 'after-school', 'with some', 'special', 'its rote', 'as gazing', 'at an egg', 'for 93']","['after-school', 'special', 'with some', 'effects,', 'plot', 'points', 'about as exciting', 'as gazing', 'at an egg', 'timer', 'for 93']","['effects,', 'points', 'about as exciting', 'as gazing', 'at an egg', 'for 93']",[]
2,The film's few ideas are stretched to the point of evaporation; the whole central section is one big chase that seems to have no goal and no urgency.,Negative,"['few ideas', 'are stretched', 'to the point', 'of evaporation;', 'big', 'chase that', 'seems to have', 'no goal', 'and no urgency.']","['few ideas', 'are stretched', 'to the point', 'the whole', 'one', 'big', 'seems to have', 'and no urgency.']","['few ideas', 'of evaporation;', 'central']","['chase that', 'seems to have', 'and no urgency.']",[],"['big', 'and no urgency.']","['to the point', 'section is', 'one', 'big', 'no goal']","[""The film's"", 'few ideas', 'are stretched', 'to the point', 'section is', 'one', 'big', 'seems to have', 'no goal']","[""The film's"", 'few ideas', 'are stretched', 'of evaporation;', 'the whole', 'central', 'chase that', 'seems to have', 'and no urgency.']","[""The film's"", 'few ideas', 'are stretched', 'to the point', 'of evaporation;', 'one', 'big', 'seems to have']","['few ideas', 'are stretched', 'of evaporation;', 'the whole', 'central', 'one', 'chase that', 'and no urgency.']","[""The film's"", 'few ideas', 'are stretched', 'of evaporation;', 'the whole', 'central', 'one', 'chase that', 'seems to have', 'and no urgency.']",[],"['few ideas', 'to the point', 'of evaporation;', 'the whole', 'one', 'chase that', 'seems to have', 'no goal', 'and no urgency.']","['few ideas', 'are stretched', 'of evaporation;', 'the whole', 'central', 'one', 'seems to have', 'no goal']","['of evaporation;', 'seems to have']","['few ideas', 'are stretched', 'to the point', 'the whole', 'central', 'section is', 'one', 'big', 'seems to have', 'no goal', 'and no urgency.']",[]
3,"I feel exhausted ...I tried to do a good job, but apparently God does not see me right. I'm weary! I EXIST! #exist #weary #misonorotta",Negative,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
4,"The movie, directed by Mick Jackson, leaves no cliche unturned, from the predictable plot to the characters straight out of central casting.",Negative,"['leaves', 'no cliche', 'the predictable', 'plot to', 'the characters', 'straight', 'out of central', 'casting.']","['no cliche', 'unturned, from', 'the predictable', 'plot to', 'the characters']","['Mick', 'leaves', 'no cliche', 'straight']","['directed by', 'Jackson,', 'leaves', 'no cliche', 'unturned, from', 'plot to', 'the characters', 'straight', 'out of central', 'casting.']",[],"['The movie,', 'no cliche', 'the characters']","['directed by', 'Mick', 'Jackson,', 'leaves', 'no cliche', 'unturned, from', 'plot to', 'the characters', 'straight', 'out of central']","['The movie,', 'Mick', 'no cliche', 'unturned, from', 'out of central']","['The movie,', 'the predictable', 'casting.']","['The movie,', 'Mick', 'leaves', 'unturned, from', 'out of central']","['The movie,', 'leaves', 'the characters', 'out of central']","['The movie,', 'leaves', 'the characters', 'out of central']",[],"['directed by', 'Mick', 'Jackson,', 'the predictable', 'plot to', 'straight']","['directed by', 'Jackson,', 'leaves', 'the characters']",[],"['The movie,', 'directed by', 'Jackson,', 'leaves', 'no cliche', 'unturned, from', 'the predictable', 'plot to', 'the characters', 'out of central']",[]
5,Some 'friends' get bitter when it seems your life is moving better than theirs.,Negative,"[""Some 'friends'"", 'get bitter']","[""Some 'friends'"", 'get bitter', 'when it seems', 'your life', 'is moving']","[""Some 'friends'"", 'get bitter']","[""Some 'friends'"", 'get bitter', 'when it seems', 'your life', 'is moving', 'better than theirs.']",[],[],"[""Some 'friends'"", 'get bitter', 'your life', 'is moving', 'better than theirs.']","[""Some 'friends'"", 'when it seems', 'your life', 'is moving']",['when it seems'],"['when it seems', 'your life']",['when it seems'],['when it seems'],[],"['when it seems', 'is moving', 'better than theirs.']",['better than theirs.'],['your life'],"[""Some 'friends'"", 'get bitter', 'when it seems', 'your life', 'better than theirs.']",[]
6,@BBCBreaking I have some mistrust of the medical profession.  The cover up was more important than the patients.,Negative,"['have some mistrust', 'of the medical', 'profession.¬†', 'The cover up', 'was more important than the', 'patients.']","['@BBCBreaking I', 'patients.']","['@BBCBreaking I', 'have some mistrust', 'profession.¬†', 'patients.']","['The cover up', 'was more important than the', 'patients.']",[],"['@BBCBreaking I', 'profession.¬†', 'patients.']",['of the medical'],"['@BBCBreaking I', 'patients.']","['@BBCBreaking I', 'have some mistrust', 'profession.¬†', 'The cover up', 'was more important than the', 'patients.']","['@BBCBreaking I', 'patients.']","['@BBCBreaking I', 'patients.']","['@BBCBreaking I', 'of the medical', 'patients.']",[],"['@BBCBreaking I', 'profession.¬†', 'The cover up', 'was more important than the', 'patients.']","['@BBCBreaking I', 'The cover up', 'was more important than the', 'patients.']",[],"['@BBCBreaking I', 'have some mistrust', 'profession.¬†', 'The cover up', 'was more important than the', 'patients.']",[]
7,I have actually watch drugs destroy an entire family Mother's on skid row. Oldest daughter lost her child. Father is estranged. #horrific,Negative,"['drugs', 'destroy an', 'row.', 'lost', 'her child.', 'estranged.']","['I have actually', 'watch', 'destroy an', 'entire', 'on skid', 'Father is']","['watch', 'drugs', 'destroy an', ""Mother's"", 'on skid', 'Oldest', 'daughter', 'estranged.']","['watch', 'on skid', 'Father is', 'estranged.']",[],"['watch', 'destroy an', 'entire', 'daughter', 'her child.', 'estranged.']","['I have actually', 'watch', 'drugs', 'destroy an', 'family', ""Mother's"", 'row.', 'daughter', 'lost', 'her child.', 'Father is', 'estranged.']","['I have actually', 'watch', 'family', 'on skid', 'Oldest', 'lost']","['entire', 'on skid', 'Oldest']","['I have actually', 'watch', 'family', 'on skid', 'Oldest']","['I have actually', 'destroy an', 'entire', 'Oldest', 'daughter', 'her child.', 'estranged.']","['I have actually', 'destroy an', 'entire', 'Oldest', 'daughter', 'her child.', 'estranged.']",[],"['watch', ""Mother's"", 'row.', 'Oldest', 'daughter', 'lost', 'her child.', 'Father is']","['watch', 'destroy an', 'Oldest', 'daughter']","['I have actually', 'watch', 'drugs', 'destroy an', 'entire', 'family', ""Mother's"", 'on skid', 'row.', 'Oldest', 'daughter', 'her child.', 'Father is', 'estranged.']","['drugs', 'row.', 'daughter', 'lost']",[]
8,"It's so mediocre, despite the dynamic duo on the marquee, that we just can't get no satisfaction.",Negative,"[""It's so mediocre,"", 'despite', 'duo', 'that we just', ""can't get"", 'no satisfaction.']","['despite', 'the dynamic', 'duo', 'on the marquee,', ""can't get""]","[""It's so mediocre,"", 'despite', 'the dynamic', 'on the marquee,', 'no satisfaction.']","['that we just', 'no satisfaction.']",[],"[""can't get""]","[""It's so mediocre,"", 'duo', 'on the marquee,', 'that we just', ""can't get"", 'no satisfaction.']","[""It's so mediocre,"", 'despite', 'that we just']","['despite', 'the dynamic']",['despite'],"['despite', 'on the marquee,']","['despite', 'on the marquee,']",[],"[""It's so mediocre,"", 'the dynamic', 'duo', 'on the marquee,', 'that we just']",['the dynamic'],['duo'],['duo'],[]
9,"For all the writhing and wailing, tears, rage and opium overdoses, there's no sense of actual passion being washed away in love's dissolution.",Negative,"['and wailing,', 'tears,', 'rage', ""overdoses, there's"", 'no sense of', 'actual', 'passion', ""love's"", 'dissolution.']","['For all the writhing', 'rage', 'away in', ""love's""]","['and wailing,', 'tears,', 'and opium', ""overdoses, there's"", 'actual', 'passion', 'being washed', ""love's"", 'dissolution.']","['For all the writhing', 'tears,', 'rage', 'and opium', 'actual', 'being washed', 'away in', ""love's"", 'dissolution.']",[],"['For all the writhing', 'and wailing,', 'tears,', 'rage', 'and opium', ""overdoses, there's"", 'no sense of', 'actual', 'passion', 'being washed', 'away in', ""love's"", 'dissolution.']","['tears,', 'rage', 'and opium', 'no sense of', 'away in', ""love's"", 'dissolution.']","['For all the writhing', 'and wailing,', 'tears,', 'rage', ""overdoses, there's"", 'no sense of', 'passion', 'away in', 'dissolution.']","['For all the writhing', 'and wailing,', ""overdoses, there's"", 'actual', 'passion', 'being washed']","['For all the writhing', 'and wailing,', 'tears,', 'rage', ""overdoses, there's"", 'no sense of', 'passion', 'dissolution.']","['tears,', ""overdoses, there's"", 'no sense of', 'actual', 'being washed']","['For all the writhing', 'and wailing,', 'tears,', 'rage', ""overdoses, there's"", 'no sense of', 'actual', 'being washed']",[],"['and wailing,', 'tears,', ""overdoses, there's"", 'actual', 'being washed', 'away in', 'dissolution.']","['and wailing,', 'tears,', 'rage', ""overdoses, there's"", 'being washed']","['and wailing,', 'tears,', 'rage', 'and opium', ""overdoses, there's"", 'no sense of', 'actual', 'passion', 'being washed']","['and opium', 'actual', 'being washed']",[]
10,"Lost without my Mom plus tired, sick and full of cold is just another day in paradise..... #upset #unwell #missyoumommybear",Negative,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
