stim_id,text,style,hummingbird annotations,captum scores,surprisal,Dwell Time z_score,Dwell Time pred,Dwell Time raw,Reread Time z_score,Reread Time raw,Go Past Time z_score,Go Past Time raw,First Run Dwell z_score,First Run Dwell raw,First Run Dwell pred,First Fixation Duration z_score,First Fixation Duration raw,Pupil Size z_score,Pupil Size raw,Pupil Size pred
1,"It feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes.",Negative,"['about as exciting', 'as gazing', 'at an egg', 'timer']","['It feels', 'and watching', 'points', 'about as exciting', 'timer']","['after-school', 'and watching', 'its rote', 'points', 'for 93']","['It feels', 'like an', 'special', 'gussied up', 'fancy']","['special', 'gussied up', 'fancy', 'at an egg']","['like an', 'special', 'gussied up', 'fancy', 'at an egg']","['special', 'and watching']","['special', 'gussied up', 'effects,', 'about as exciting', 'timer']","['at an egg', 'for 93']","['special', 'gussied up', 'effects,', 'about as exciting', 'timer']","['special', 'its rote', 'plot', 'as gazing', 'for 93']","['special', 'its rote', 'plot', 'as gazing', 'for 93']","['special', 'its rote', 'as gazing', 'for 93']","['after-school', 'fancy', 'connect is', 'timer']","['with some', 'special', 'its rote', 'as gazing', 'for 93']","['points', 'about as exciting', 'as gazing', 'at an egg', 'for 93']","['effects,', 'points', 'about as exciting', 'as gazing', 'for 93']","['points', 'as gazing', 'at an egg', 'for 93']"
2,The film's few ideas are stretched to the point of evaporation; the whole central section is one big chase that seems to have no goal and no urgency.,Negative,"['to the point', 'no goal']","['are stretched', 'to the point', 'big']","['few ideas', 'of evaporation;', 'central']","['chase that', 'seems to have', 'and no urgency.']",[],"[""The film's"", 'big', 'and no urgency.']","['to the point', 'big']","['to the point', 'section is', 'big']","['are stretched', 'the whole']","['few ideas', 'of evaporation;', 'one']","['of evaporation;', 'the whole', 'and no urgency.']","['of evaporation;', 'the whole', 'chase that']",[],"['few ideas', 'the whole', 'and no urgency.']","['few ideas', 'of evaporation;', 'one']","['of evaporation;', 'seems to have', 'no goal']","['one', 'seems to have', 'no goal']",[]
3,"I feel exhausted ...I tried to do a good job, but apparently God does not see me right. I'm weary! I EXIST! #exist #weary #misonorotta",Negative,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
4,"The movie, directed by Mick Jackson, leaves no cliche unturned, from the predictable plot to the characters straight out of central casting.",Negative,"['no cliche', 'out of central', 'casting.']","['no cliche', 'unturned, from', 'plot to']","['Mick', 'leaves', 'straight']","['leaves', 'no cliche', 'unturned, from']",[],"['The movie,', 'no cliche', 'the characters']",[],"['no cliche', 'unturned, from', 'out of central']",[],"['The movie,', 'unturned, from', 'out of central']","['The movie,', 'the characters', 'out of central']","['The movie,', 'leaves', 'out of central']",[],[],"['directed by', 'Jackson,', 'leaves']","['leaves', 'plot to', 'the characters']","['directed by', 'Jackson,', 'plot to']",[]
5,Some 'friends' get bitter when it seems your life is moving better than theirs.,Negative,['get bitter'],['get bitter'],['get bitter'],['when it seems'],[],['when it seems'],[],['your life'],[],['your life'],['when it seems'],['when it seems'],[],['is moving'],['better than theirs.'],['your life'],['your life'],[]
6,@BBCBreaking I have some mistrust of the medical profession.  The cover up was more important than the patients.,Negative,['The cover up'],['@BBCBreaking I'],['profession.¬†'],['was more important than the'],[],['patients.'],['of the medical'],['patients.'],[],['@BBCBreaking I'],['@BBCBreaking I'],['@BBCBreaking I'],[],['profession.¬†'],['patients.'],['was more important than the'],['The cover up'],['@BBCBreaking I']
7,I have actually watch drugs destroy an entire family Mother's on skid row. Oldest daughter lost her child. Father is estranged. #horrific,Negative,"['lost', 'estranged.']","['I have actually', 'watch', 'Father is']","['watch', 'drugs', ""Mother's""]","['on skid', 'Father is', 'estranged.']","['daughter', 'estranged.']","['entire', 'daughter', 'estranged.']",['her child.'],"['watch', 'family', 'on skid']",['entire'],"['I have actually', 'on skid', 'Oldest']","['I have actually', 'Oldest', 'estranged.']","['I have actually', 'Oldest', 'estranged.']","['Oldest', 'estranged.']",['watch'],"['watch', 'destroy an', 'Oldest']","['family', ""Mother's"", 'on skid']","['row.', 'daughter', 'lost']","[""Mother's"", 'on skid']"
8,"It's so mediocre, despite the dynamic duo on the marquee, that we just can't get no satisfaction.",Negative,['no satisfaction.'],['despite'],['despite'],['that we just'],[],"[""can't get""]",[],[],[],['despite'],"['on the marquee,']","['on the marquee,']",[],[],['the dynamic'],['duo'],['duo'],"[""It's so mediocre,""]"
9,"For all the writhing and wailing, tears, rage and opium overdoses, there's no sense of actual passion being washed away in love's dissolution.",Negative,"['tears,', 'rage']","['rage', 'away in', ""love's""]","['tears,', ""love's"", 'dissolution.']","['For all the writhing', 'rage']","['being washed', 'dissolution.']","['For all the writhing', 'being washed', 'dissolution.']",[],"['no sense of', 'passion', 'dissolution.']",[],"['For all the writhing', ""overdoses, there's"", 'dissolution.']","[""overdoses, there's"", 'actual', 'being washed']","['For all the writhing', ""overdoses, there's"", 'being washed']","[""overdoses, there's"", 'being washed']","['and wailing,']","['and wailing,', 'tears,', 'being washed']","['and opium', 'no sense of', 'passion']","['and opium', 'actual', 'being washed']","['passion', 'being washed']"
10,"Lost without my Mom plus tired, sick and full of cold is just another day in paradise..... #upset #unwell #missyoumommybear",Negative,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
