stim_id,text,style,hummingbird annotations,captum scores,surprisal,Dwell Time z_score,Dwell Time pred,Dwell Time raw,Reread Time z_score,Reread Time raw,Go Past Time z_score,Go Past Time raw,First Run Dwell z_score,First Run Dwell raw,First Run Dwell pred,First Fixation Duration z_score,First Fixation Duration raw,Pupil Size z_score,Pupil Size raw,Pupil Size pred
1,"It feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes.",Negative,"['gussied up', 'with some', 'fancy', 'its rote', 'plot', 'points', 'connect is', 'about as exciting', 'as gazing', 'at an egg', 'timer', 'for 93']","['It feels', 'and watching', 'points', 'about as exciting']","['after-school', 'gussied up', 'and watching', 'its rote', 'points', 'for 93']","['It feels', 'like an', 'after-school', 'special', 'gussied up', 'with some', 'fancy', 'special', 'effects,', 'and watching', 'its rote', 'plot', 'points', 'connect is', 'about as exciting', 'as gazing', 'at an egg', 'timer', 'for 93']","['after-school', 'gussied up', 'and watching', 'its rote', 'connect is', 'about as exciting']","['It feels', 'like an', 'after-school', 'special', 'gussied up', 'with some', 'fancy', 'special', 'effects,', 'and watching', 'its rote', 'plot', 'points', 'connect is', 'about as exciting', 'as gazing', 'at an egg', 'timer', 'for 93']","['like an', 'after-school', 'special', 'gussied up', 'with some', 'special', 'effects,', 'plot', 'connect is', 'at an egg', 'for 93']","['It feels', 'like an', 'after-school', 'special', 'gussied up', 'with some', 'fancy', 'special', 'effects,', 'and watching', 'its rote', 'plot', 'points', 'connect is', 'about as exciting', 'as gazing', 'at an egg', 'timer', 'for 93']","['It feels', 'fancy', 'and watching', 'its rote', 'points', 'about as exciting', 'as gazing', 'timer']","['It feels', 'like an', 'after-school', 'special', 'gussied up', 'with some', 'fancy', 'special', 'effects,', 'and watching', 'its rote', 'plot', 'points', 'connect is', 'about as exciting', 'as gazing', 'at an egg', 'timer', 'for 93']","['It feels', 'special', 'and watching', 'its rote', 'about as exciting']","['It feels', 'like an', 'after-school', 'special', 'gussied up', 'with some', 'fancy', 'special', 'effects,', 'and watching', 'its rote', 'plot', 'points', 'connect is', 'about as exciting', 'as gazing', 'at an egg', 'timer', 'for 93']","['after-school', 'gussied up', 'with some', 'and watching', 'its rote', 'connect is', 'about as exciting', 'as gazing', 'at an egg', 'for 93']","['It feels', 'special', 'gussied up', 'with some', 'fancy', 'special', 'effects,', 'points', 'connect is', 'about as exciting', 'as gazing', 'timer', 'for 93']","['It feels', 'like an', 'after-school', 'special', 'gussied up', 'with some', 'fancy', 'special', 'effects,', 'and watching', 'its rote', 'plot', 'points', 'connect is', 'about as exciting', 'as gazing', 'at an egg', 'timer', 'for 93']","['It feels', 'like an', 'after-school', 'special', 'fancy', 'special', 'effects,', 'and watching', 'points', 'connect is', 'about as exciting']","['It feels', 'like an', 'after-school', 'special', 'gussied up', 'with some', 'fancy', 'special', 'effects,', 'and watching', 'its rote', 'plot', 'points', 'connect is', 'about as exciting', 'as gazing', 'at an egg', 'timer', 'for 93']",[]
2,The film's few ideas are stretched to the point of evaporation; the whole central section is one big chase that seems to have no goal and no urgency.,Negative,"['few ideas', 'are stretched', 'to the point', 'of evaporation;', 'big', 'chase that', 'seems to have', 'no goal', 'and no urgency.']","['few ideas', 'are stretched', 'to the point', 'the whole', 'one', 'big', 'seems to have', 'and no urgency.']","['few ideas', 'of evaporation;', 'central']","[""The film's"", 'few ideas', 'are stretched', 'to the point', 'of evaporation;', 'the whole', 'central', 'section is', 'one', 'big', 'chase that', 'seems to have', 'no goal', 'and no urgency.']","['few ideas', 'are stretched', 'of evaporation;', 'section is', 'chase that', 'seems to have', 'and no urgency.']","[""The film's"", 'few ideas', 'are stretched', 'to the point', 'of evaporation;', 'the whole', 'central', 'section is', 'one', 'big', 'chase that', 'seems to have', 'no goal', 'and no urgency.']","['few ideas', 'are stretched', 'one']","[""The film's"", 'few ideas', 'are stretched', 'to the point', 'of evaporation;', 'the whole', 'central', 'section is', 'one', 'big', 'chase that', 'seems to have', 'no goal', 'and no urgency.']","[""The film's"", 'to the point', 'of evaporation;', 'the whole', 'central', 'section is', 'big', 'chase that', 'seems to have', 'no goal', 'and no urgency.']","[""The film's"", 'few ideas', 'are stretched', 'to the point', 'of evaporation;', 'the whole', 'central', 'section is', 'one', 'big', 'chase that', 'seems to have', 'no goal', 'and no urgency.']","[""The film's"", 'few ideas', 'to the point', 'of evaporation;', 'chase that', 'seems to have', 'and no urgency.']","[""The film's"", 'few ideas', 'are stretched', 'to the point', 'of evaporation;', 'the whole', 'central', 'section is', 'one', 'big', 'chase that', 'seems to have', 'no goal', 'and no urgency.']","['few ideas', 'are stretched', 'of evaporation;', 'section is', 'chase that', 'seems to have', 'and no urgency.']","[""The film's"", 'of evaporation;', 'central', 'section is', 'one', 'chase that', 'no goal', 'and no urgency.']","[""The film's"", 'few ideas', 'are stretched', 'to the point', 'of evaporation;', 'the whole', 'central', 'section is', 'one', 'big', 'chase that', 'seems to have', 'no goal', 'and no urgency.']","[""The film's"", 'few ideas', 'are stretched', 'the whole', 'no goal', 'and no urgency.']","[""The film's"", 'few ideas', 'are stretched', 'to the point', 'of evaporation;', 'the whole', 'central', 'section is', 'one', 'big', 'chase that', 'seems to have', 'no goal', 'and no urgency.']","['few ideas', 'are stretched', 'of evaporation;', 'central', 'section is', 'one', 'big', 'chase that', 'seems to have', 'no goal', 'and no urgency.']"
3,"I feel exhausted ...I tried to do a good job, but apparently God does not see me right. I'm weary! I EXIST! #exist #weary #misonorotta",Negative,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
4,"The movie, directed by Mick Jackson, leaves no cliche unturned, from the predictable plot to the characters straight out of central casting.",Negative,"['leaves', 'no cliche', 'the predictable', 'plot to', 'the characters', 'straight', 'out of central', 'casting.']","['no cliche', 'unturned, from', 'the predictable', 'plot to', 'the characters']","['Mick', 'leaves', 'no cliche', 'straight']","['The movie,', 'directed by', 'Mick', 'Jackson,', 'leaves', 'no cliche', 'unturned, from', 'the predictable', 'plot to', 'the characters', 'straight', 'out of central', 'casting.']","['no cliche', 'unturned, from', 'out of central']","['The movie,', 'directed by', 'Mick', 'Jackson,', 'leaves', 'no cliche', 'unturned, from', 'the predictable', 'plot to', 'the characters', 'straight', 'out of central', 'casting.']","['directed by', 'Mick', 'Jackson,', 'leaves', 'no cliche', 'plot to', 'straight', 'casting.']","['The movie,', 'directed by', 'Mick', 'Jackson,', 'leaves', 'no cliche', 'unturned, from', 'the predictable', 'plot to', 'the characters', 'straight', 'out of central', 'casting.']","['The movie,', 'unturned, from', 'the predictable', 'the characters', 'out of central']","['The movie,', 'directed by', 'Mick', 'Jackson,', 'leaves', 'no cliche', 'unturned, from', 'the predictable', 'plot to', 'the characters', 'straight', 'out of central', 'casting.']","['The movie,', 'no cliche', 'unturned, from', 'the predictable', 'the characters', 'out of central']","['The movie,', 'directed by', 'Mick', 'Jackson,', 'leaves', 'no cliche', 'unturned, from', 'the predictable', 'plot to', 'the characters', 'straight', 'out of central', 'casting.']","['directed by', 'no cliche', 'unturned, from', 'out of central']","['The movie,', 'directed by', 'Mick', 'Jackson,', 'leaves', 'no cliche', 'plot to', 'the characters', 'straight', 'casting.']","['The movie,', 'directed by', 'Mick', 'Jackson,', 'leaves', 'no cliche', 'unturned, from', 'the predictable', 'plot to', 'the characters', 'straight', 'out of central', 'casting.']","['The movie,', 'directed by', 'Jackson,', 'unturned, from', 'the predictable', 'plot to', 'out of central', 'casting.']","['The movie,', 'directed by', 'Mick', 'Jackson,', 'leaves', 'no cliche', 'unturned, from', 'the predictable', 'plot to', 'the characters', 'straight', 'out of central', 'casting.']","['directed by', 'Mick', 'Jackson,', 'leaves', 'no cliche', 'unturned, from', 'plot to', 'straight', 'out of central', 'casting.']"
5,Some 'friends' get bitter when it seems your life is moving better than theirs.,Negative,"[""Some 'friends'"", 'get bitter']","[""Some 'friends'"", 'get bitter', 'when it seems', 'your life', 'is moving']","[""Some 'friends'"", 'get bitter']","[""Some 'friends'"", 'get bitter', 'when it seems', 'your life', 'is moving', 'better than theirs.']","['get bitter', 'when it seems', 'your life', 'better than theirs.']","[""Some 'friends'"", 'get bitter', 'when it seems', 'your life', 'is moving', 'better than theirs.']","['get bitter', 'your life', 'is moving']","[""Some 'friends'"", 'get bitter', 'when it seems', 'your life', 'is moving', 'better than theirs.']","[""Some 'friends'"", 'when it seems', 'better than theirs.']","[""Some 'friends'"", 'get bitter', 'when it seems', 'your life', 'is moving', 'better than theirs.']","[""Some 'friends'"", 'get bitter', 'when it seems', 'better than theirs.']","[""Some 'friends'"", 'get bitter', 'when it seems', 'your life', 'is moving', 'better than theirs.']","['get bitter', 'when it seems', 'your life', 'better than theirs.']","['is moving', 'better than theirs.']","[""Some 'friends'"", 'get bitter', 'when it seems', 'your life', 'is moving', 'better than theirs.']","[""Some 'friends'"", 'get bitter']","[""Some 'friends'"", 'get bitter', 'when it seems', 'your life', 'is moving', 'better than theirs.']","['get bitter', 'when it seems', 'your life', 'is moving', 'better than theirs.']"
6,@BBCBreaking I have some mistrust of the medical profession.  The cover up was more important than the patients.,Negative,"['have some mistrust', 'of the medical', 'profession.¬†', 'The cover up', 'was more important than the', 'patients.']","['@BBCBreaking I', 'patients.']","['@BBCBreaking I', 'have some mistrust', 'profession.¬†', 'patients.']","['@BBCBreaking I', 'have some mistrust', 'of the medical', 'profession.¬†', 'The cover up', 'was more important than the', 'patients.']","['have some mistrust', 'of the medical', 'profession.¬†', 'The cover up', 'was more important than the']","['@BBCBreaking I', 'have some mistrust', 'of the medical', 'profession.¬†', 'The cover up', 'was more important than the', 'patients.']","['of the medical', 'profession.¬†', 'patients.']","['@BBCBreaking I', 'have some mistrust', 'of the medical', 'profession.¬†', 'The cover up', 'was more important than the', 'patients.']","['@BBCBreaking I', 'have some mistrust', 'The cover up', 'was more important than the']","['@BBCBreaking I', 'have some mistrust', 'of the medical', 'profession.¬†', 'The cover up', 'was more important than the', 'patients.']","['@BBCBreaking I', 'have some mistrust', 'The cover up', 'was more important than the']","['@BBCBreaking I', 'have some mistrust', 'of the medical', 'profession.¬†', 'The cover up', 'was more important than the', 'patients.']","['have some mistrust', 'of the medical', 'profession.¬†', 'The cover up', 'was more important than the']","['profession.¬†', 'The cover up']","['@BBCBreaking I', 'have some mistrust', 'of the medical', 'profession.¬†', 'The cover up', 'was more important than the', 'patients.']","['@BBCBreaking I', 'profession.¬†', 'patients.']","['@BBCBreaking I', 'have some mistrust', 'of the medical', 'profession.¬†', 'The cover up', 'was more important than the', 'patients.']","['have some mistrust', 'of the medical', 'profession.¬†', 'The cover up', 'was more important than the', 'patients.']"
7,I have actually watch drugs destroy an entire family Mother's on skid row. Oldest daughter lost her child. Father is estranged. #horrific,Negative,"['drugs', 'destroy an', 'row.', 'lost', 'her child.', 'estranged.']","['I have actually', 'watch', 'destroy an', 'entire', 'on skid', 'Father is']","['watch', 'drugs', 'destroy an', ""Mother's"", 'on skid', 'Oldest', 'daughter', 'estranged.']","['I have actually', 'watch', 'drugs', 'destroy an', 'entire', 'family', ""Mother's"", 'on skid', 'row.', 'Oldest', 'daughter', 'lost', 'her child.', 'Father is', 'estranged.']",[],"['I have actually', 'watch', 'drugs', 'destroy an', 'entire', 'family', ""Mother's"", 'on skid', 'row.', 'Oldest', 'daughter', 'lost', 'her child.', 'Father is', 'estranged.']","['watch', 'drugs', 'family', ""Mother's"", 'on skid', 'row.', 'daughter', 'lost', 'Father is']","['I have actually', 'watch', 'drugs', 'destroy an', 'entire', 'family', ""Mother's"", 'on skid', 'row.', 'Oldest', 'daughter', 'lost', 'her child.', 'Father is', 'estranged.']","['I have actually', 'destroy an', 'entire', 'Oldest', 'her child.', 'estranged.']","['I have actually', 'watch', 'drugs', 'destroy an', 'entire', 'family', ""Mother's"", 'on skid', 'row.', 'Oldest', 'daughter', 'lost', 'her child.', 'Father is', 'estranged.']","['I have actually', 'on skid', 'estranged.']","['I have actually', 'watch', 'drugs', 'destroy an', 'entire', 'family', ""Mother's"", 'on skid', 'row.', 'Oldest', 'daughter', 'lost', 'her child.', 'Father is', 'estranged.']",['destroy an'],"['watch', 'destroy an', 'entire', 'Oldest', 'lost', 'Father is']","['I have actually', 'watch', 'drugs', 'destroy an', 'entire', 'family', ""Mother's"", 'on skid', 'row.', 'Oldest', 'daughter', 'lost', 'her child.', 'Father is', 'estranged.']","['I have actually', 'watch', 'drugs', 'on skid', 'row.', 'Oldest', 'daughter', 'estranged.']","['I have actually', 'watch', 'drugs', 'destroy an', 'entire', 'family', ""Mother's"", 'on skid', 'row.', 'Oldest', 'daughter', 'lost', 'her child.', 'Father is', 'estranged.']","['watch', 'drugs', ""Mother's"", 'on skid', 'Oldest', 'lost']"
8,"It's so mediocre, despite the dynamic duo on the marquee, that we just can't get no satisfaction.",Negative,"[""It's so mediocre,"", 'despite', 'duo', 'that we just', ""can't get"", 'no satisfaction.']","['despite', 'the dynamic', 'duo', 'on the marquee,', ""can't get""]","[""It's so mediocre,"", 'despite', 'the dynamic', 'on the marquee,', 'no satisfaction.']","[""It's so mediocre,"", 'despite', 'the dynamic', 'duo', 'on the marquee,', 'that we just', ""can't get"", 'no satisfaction.']","['despite', 'the dynamic', 'on the marquee,', 'that we just', ""can't get"", 'no satisfaction.']","[""It's so mediocre,"", 'despite', 'the dynamic', 'duo', 'on the marquee,', 'that we just', ""can't get"", 'no satisfaction.']","['the dynamic', 'duo', 'that we just', ""can't get"", 'no satisfaction.']","[""It's so mediocre,"", 'despite', 'the dynamic', 'duo', 'on the marquee,', 'that we just', ""can't get"", 'no satisfaction.']","[""It's so mediocre,"", 'despite', 'on the marquee,']","[""It's so mediocre,"", 'despite', 'the dynamic', 'duo', 'on the marquee,', 'that we just', ""can't get"", 'no satisfaction.']","[""It's so mediocre,"", 'on the marquee,']","[""It's so mediocre,"", 'despite', 'the dynamic', 'duo', 'on the marquee,', 'that we just', ""can't get"", 'no satisfaction.']","['the dynamic', 'on the marquee,', 'that we just', 'no satisfaction.']","[""It's so mediocre,"", 'despite', 'duo', 'that we just', ""can't get""]","[""It's so mediocre,"", 'despite', 'the dynamic', 'duo', 'on the marquee,', 'that we just', ""can't get"", 'no satisfaction.']","[""It's so mediocre,"", 'despite', 'the dynamic', 'that we just', ""can't get"", 'no satisfaction.']","[""It's so mediocre,"", 'despite', 'the dynamic', 'duo', 'on the marquee,', 'that we just', ""can't get"", 'no satisfaction.']",[]
9,"For all the writhing and wailing, tears, rage and opium overdoses, there's no sense of actual passion being washed away in love's dissolution.",Negative,"['and wailing,', 'tears,', 'rage', ""overdoses, there's"", 'no sense of', 'actual', 'passion', ""love's"", 'dissolution.']","['For all the writhing', 'rage', 'away in', ""love's""]","['and wailing,', 'tears,', 'and opium', ""overdoses, there's"", 'actual', 'passion', 'being washed', ""love's"", 'dissolution.']","['For all the writhing', 'and wailing,', 'tears,', 'rage', 'and opium', ""overdoses, there's"", 'no sense of', 'actual', 'passion', 'being washed', 'away in', ""love's"", 'dissolution.']","['and wailing,', 'and opium', ""overdoses, there's"", 'no sense of', 'being washed', 'dissolution.']","['For all the writhing', 'and wailing,', 'tears,', 'rage', 'and opium', ""overdoses, there's"", 'no sense of', 'actual', 'passion', 'being washed', 'away in', ""love's"", 'dissolution.']","['tears,', 'rage', 'actual', 'passion', 'away in', ""love's"", 'dissolution.']","['For all the writhing', 'and wailing,', 'tears,', 'rage', 'and opium', ""overdoses, there's"", 'no sense of', 'actual', 'passion', 'being washed', 'away in', ""love's"", 'dissolution.']","['For all the writhing', 'and wailing,', 'and opium', ""overdoses, there's"", 'no sense of', 'being washed']","['For all the writhing', 'and wailing,', 'tears,', 'rage', 'and opium', ""overdoses, there's"", 'no sense of', 'actual', 'passion', 'being washed', 'away in', ""love's"", 'dissolution.']","['For all the writhing', 'and wailing,', ""overdoses, there's"", 'being washed']","['For all the writhing', 'and wailing,', 'tears,', 'rage', 'and opium', ""overdoses, there's"", 'no sense of', 'actual', 'passion', 'being washed', 'away in', ""love's"", 'dissolution.']","['and wailing,', 'and opium', ""overdoses, there's"", 'no sense of', 'being washed', 'dissolution.']","['and wailing,', 'tears,', 'rage', 'passion', 'being washed', 'away in', 'dissolution.']","['For all the writhing', 'and wailing,', 'tears,', 'rage', 'and opium', ""overdoses, there's"", 'no sense of', 'actual', 'passion', 'being washed', 'away in', ""love's"", 'dissolution.']","['For all the writhing', 'and wailing,', 'tears,', 'rage', ""overdoses, there's"", 'no sense of', 'actual', 'away in', ""love's"", 'dissolution.']","['For all the writhing', 'and wailing,', 'tears,', 'rage', 'and opium', ""overdoses, there's"", 'no sense of', 'actual', 'passion', 'being washed', 'away in', ""love's"", 'dissolution.']",[]
10,"Lost without my Mom plus tired, sick and full of cold is just another day in paradise..... #upset #unwell #missyoumommybear",Negative,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
